Journalist noemt Gideon van Meijeren ‘neonazi voor wie in een democratie geen plaats zou mogen zijn’,167,13.571
Kuipers kondigt nieuwe vaccinatieronde aan: ‘Het is werkelijk om te janken’,189,15.255
Wob-document over najagen van artsen: Hugo de Jonge vraagt zich af of inspectie ‘full force’ kan ingrijpen,143,14.552
‘Topje van de ijsberg’: alarmerend Duits onderzoek over ernstige bijwerkingen na prik,61,12.341
In Groot-Toronto zijn deze maand al 5 artsen gestorven: wat is er aan de hand?,58,8.773
Deze boer uit Twente is wakker: ‘Stukje bij beetje komen al die complottheorieën uit’,176,17.531
Ruimen aannemers gedumpte rommel op snelwegen niet op vanwege intimidatie? ‘Het zit anders in elkaar’,107,17.602
Moleculair bioloog gaat boekje opendoen over ‘corrupte’ Erasmus MC: ‘Misinformatie van Koopmans gaat gewoon door’,107,17.322
Voorzitter Taskforce Huisvesting Arbeidsmigranten fantaseert openlijk over met ‘scherp schieten’ op boeren,122,13.067
"Harde kritiek op Rutte: ‘Wat jij doet met de boeren is onacceptabel, heel Nederland weet dat’",195,14.711
Wereldwijde verzetsbeweging gelanceerd om terug te slaan tegen WHO en World Economic Forum,106,23.714
Volledig gevaccineerd zijn tegen Covid-19 betekent dat ‘de kans vergroot dat u sneller overlijdt’,46,13.487
Partij Wybren van Haga wil onderzoek naar alarmerende cijfers over bijwerkingen coronavaccinatie,164,14.763
Provincie Zuid-Holland sorteert in het geniep voor op het elimineren van boeren,100,18.081
Overal steunen Nederlanders de boerenacties: ‘Dit raakt ons uiteindelijk allemaal’,145,10.929
Alex Jones legt in 2 minuten de Great Reset uit: ‘Feodalisme 2.0 in een technocratisch jasje’,57,11.277
Europarlementariër over vaccinatiecampagne: ‘Grootste schandaal uit medische geschiedenis’,48,9.875
"Overheid: als we deze informatie openbaar zouden maken, willen mensen geen vaccins meer en dus doen we dat niet",88,17.724
Presentatrice zakt in elkaar tijdens Brits premiersdebat: ‘Medische noodsituatie’,60,12.161
"Gynaecoloog ontdekt dat 74% van gevaccineerde vrouwen een miskraam krijgt, en wordt ontslagen",86,17.207
Kijk: Russische leger met open armen ontvangen in Lisitsjansk – ‘We hebben elke dag op jullie gewacht’,70,11.747
Cardioloog over coronaprik: ‘Dit is erger dan een oorlog’,84,17.216
