,train_mean,train_std
Open,73783.01882193636,3401.3110320540773
High,73834.97345971563,3410.254883206614
Low,73731.0529451591,3391.8452270487296
Close,73783.14631008802,3400.678796691073
Volume,46489.74776574137,46532.72076313777
